gamma,lambda,vol,finalV,err
0.0,0.0001,0.32308806863140693,20996787.35126553,0.17308806863140694
0.0,0.0003727593720314938,0.322899030316763,21037628.835381772,0.17289903031676299
0.0,0.0013894954943731374,0.32161520098810314,21260093.240304787,0.17161520098810315
0.0,0.005179474679231213,0.31602871534384924,21787794.177418586,0.16602871534384925
0.0,0.019306977288832496,0.2841183766843275,21396238.816059586,0.1341183766843275
0.0,0.07196856730011514,0.15622614569536866,16521536.383424608,0.006226145695368668
0.0,0.2682695795279725,0.04795976904189621,13415896.786613429,0.10204023095810379
0.0,1.0,0.012947240313352565,12341268.323938314,0.13705275968664743
10.0,0.0001,0.2416595057800002,20651074.251942534,0.0916595057800002
10.0,0.0003727593720314938,0.24083412654764497,20630035.020571362,0.09083412654764497
10.0,0.0013894954943731374,0.2385496250867933,20626842.066634215,0.08854962508679332
10.0,0.005179474679231213,0.22565103055260508,20317378.15661352,0.07565103055260508
10.0,0.019306977288832496,0.1919096771274742,17831570.2482107,0.041909677127474204
10.0,0.07196856730011514,0.10894756750243259,14570537.761119064,0.041052432497567404
10.0,0.2682695795279725,0.03970120851280497,13056023.832032088,0.11029879148719503
10.0,1.0,0.012190675396386637,12309645.336475298,0.13780932460361336
20.0,0.0001,0.19227249403662536,17989211.967022553,0.04227249403662536
20.0,0.0003727593720314938,0.19161874614753138,18031749.13574061,0.04161874614753139
20.0,0.0013894954943731374,0.18901364816337585,18058634.621885266,0.03901364816337585
20.0,0.005179474679231213,0.17937944313352785,17663391.481381934,0.02937944313352786
20.0,0.019306977288832496,0.1484810756661144,15697668.550747046,0.0015189243338855907
20.0,0.07196856730011514,0.08426494668724749,13825910.523834312,0.0657350533127525
20.0,0.2682695795279725,0.034758723529482394,12872009.421926126,0.1152412764705176
20.0,1.0,0.011553949113777029,12282089.576979335,0.13844605088622297
30.0,0.0001,0.15929321078266181,16716476.512642073,0.00929321078266182
30.0,0.0003727593720314938,0.15868187556576166,16658061.44979071,0.008681875565761665
30.0,0.0013894954943731374,0.1564186121056867,16505264.367379006,0.0064186121056867
30.0,0.005179474679231213,0.1471360581215019,15986557.842697995,0.0028639418784980886
30.0,0.019306977288832496,0.12054100842488397,14393768.290225944,0.029458991575116028
30.0,0.07196856730011514,0.07034596586832219,13437297.131007213,0.0796540341316778
30.0,0.2682695795279725,0.03126476837638657,12740965.55633381,0.11873523162361342
30.0,1.0,0.011029926025340803,12260202.381715422,0.1389700739746592
40.0,0.0001,0.13689622605793847,15681705.17119154,0.013103773942061525
40.0,0.0003727593720314938,0.1362119826376439,15669638.161683576,0.013788017362356103
40.0,0.0013894954943731374,0.1338624790467274,15539753.020758122,0.01613752095327259
40.0,0.005179474679231213,0.12585318614357913,14932852.333463168,0.024146813856420868
40.0,0.019306977288832496,0.1030491983459519,13676475.824482094,0.046950801654048094
40.0,0.07196856730011514,0.06112523100326105,13185575.196542677,0.08887476899673893
40.0,0.2682695795279725,0.028606792427125854,12655123.917684114,0.12139320757287414
40.0,1.0,0.010580756939207122,12243762.695105527,0.13941924306079287
50.0,0.0001,0.12019730898648162,15040875.292322172,0.029802691013518373
50.0,0.0003727593720314938,0.11970000099550439,15000198.825315226,0.030299999004495606
50.0,0.0013894954943731374,0.11781074010592327,14924933.85302691,0.03218925989407673
50.0,0.005179474679231213,0.11016058651083452,14362832.653919438,0.039839413489165476
50.0,0.019306977288832496,0.09077513199251092,13285348.029808262,0.05922486800748908
50.0,0.07196856730011514,0.05454891025386307,13016966.884680888,0.09545108974613692
50.0,0.2682695795279725,0.02648092375940307,12587081.076207723,0.12351907624059692
50.0,1.0,0.01018718799658128,12230213.976448625,0.13981281200341872
60.0,0.0001,0.10759631438687857,14612304.750159096,0.042403685613121425
60.0,0.0003727593720314938,0.10701324209501484,14582744.855736973,0.04298675790498516
60.0,0.0013894954943731374,0.10507195618138478,14508226.375795126,0.04492804381861522
60.0,0.005179474679231213,0.09850844792996459,13907877.552460164,0.051491552070035404
60.0,0.019306977288832496,0.08083724124281176,13094449.326779196,0.06916275875718823
60.0,0.07196856730011514,0.04948216779071249,12901996.97548232,0.1005178322092875
60.0,0.2682695795279725,0.024724269585527172,12536436.289706398,0.12527573041447282
60.0,1.0,0.009831092637402805,12217769.602984,0.14016890736259718
70.0,0.0001,0.0975454488086048,14301223.876067793,0.05245455119139519
70.0,0.0003727593720314938,0.09707698761337895,14264449.427852385,0.052923012386621046
70.0,0.0013894954943731374,0.09542260288728326,14119705.633068869,0.05457739711271674
70.0,0.005179474679231213,0.08970905382148976,13502466.811519995,0.06029094617851023
70.0,0.019306977288832496,0.0729887163128728,12981468.557111781,0.07701128368712719
70.0,0.07196856730011514,0.045448975256451765,12811446.881004523,0.10455102474354823
70.0,0.2682695795279725,0.023256284066894086,12497253.760870192,0.1267437159331059
70.0,1.0,0.009504646913153654,12203885.689929469,0.14049535308684635
80.0,0.0001,0.08969003523895229,13948978.864974787,0.060309964761047705
80.0,0.0003727593720314938,0.08927995376008657,13907264.898826132,0.06072004623991342
80.0,0.0013894954943731374,0.08771926627597872,13749645.263845466,0.06228073372402128
80.0,0.005179474679231213,0.08264240032407619,13231040.639853332,0.06735759967592381
80.0,0.019306977288832496,0.0668290688591362,12887331.460050229,0.0831709311408638
80.0,0.07196856730011514,0.042108926330753714,12739088.70383767,0.10789107366924627
80.0,0.2682695795279725,0.02201682630608321,12456273.679349948,0.1279831736939168
80.0,1.0,0.009205311489130143,12195228.052195186,0.14079468851086985
90.0,0.0001,0.08319554821238737,13624005.882095668,0.06680445178761263
90.0,0.0003727593720314938,0.08284833289896508,13589138.154746702,0.06715166710103491
90.0,0.0013894954943731374,0.08155958831020822,13450619.639663326,0.06844041168979177
90.0,0.005179474679231213,0.0769870942694041,13041602.459577698,0.07301290573059589
90.0,0.019306977288832496,0.06149851833621368,12805624.10578752,0.08850148166378632
90.0,0.07196856730011514,0.03934482703309667,12677856.57220205,0.11065517296690333
90.0,0.2682695795279725,0.020913244529523683,12426619.345870418,0.12908675547047632
90.0,1.0,0.008935645568699704,12186166.735551186,0.14106435443130028
100.0,0.0001,0.07801432494826706,13376928.682003917,0.07198567505173294
100.0,0.0003727593720314938,0.07772799189671989,13341290.487789156,0.0722720081032801
100.0,0.0013894954943731374,0.07652758521571265,13230774.579368155,0.07347241478428734
100.0,0.005179474679231213,0.07203364305562258,12923011.166469919,0.07796635694437741
100.0,0.019306977288832496,0.05698006203022995,12723994.853219949,0.09301993796977004
100.0,0.07196856730011514,0.036951575809842124,12629336.272320447,0.11304842419015787
100.0,0.2682695795279725,0.019944234536163816,12401536.365013294,0.13005576546383618
100.0,1.0,0.008690023151286544,12176242.709779317,0.14130997684871344
